"","aoi_name","Year","tas_max_year","tas_min_year","tas_mean_year","bio4_year","bio7_year","pr_max_year","pr_min_year","pr_mean_year","pr_accum_year","bio15_year","tas_max_spring","tas_min_spring","tas_mean_spring","bio4_spring","bio7_spring","pr_max_spring","pr_min_spring","pr_mean_spring","pr_accum_spring","bio15_spring","plotname"
"34","deheson_C5","2001",18.9833333333333,8.88333333333335,14.9166666666667,6.19981182510136,-27.1,268.29,0.78,108.155,648.93,102.666335004394,19.3666666666667,9.0666666666667,15.3666666666667,2.69505720409296,-14.5,214.6,0.78,89.5333333333333,276.19,124.019480220405,"deheson_C5_2001"
"35","deheson_C5","2002",18.7333333333333,8.06666666666667,14.1166666666667,6.16000541125303,-27.1,109.72,10.6,53.755,322.53,70.6622274829147,18.8,7.90000000000002,14.2,2.40624188310317,-15.5,109.72,36.78,70.4633333333333,221.99,53.9067321776444,"deheson_C5_2002"
"36","deheson_C5","2003",18.7,8.61666666666668,14.4166666666667,7.22700952446216,-28.7,132,12.49,72.525,435.15,71.2864616115656,19.7333333333333,9.16666666666669,15.4,3.59304884464433,-17.1,73.47,17.16,53.9866666666667,174.45,95.7653240623388,"deheson_C5_2003"
"37","deheson_C5","2004",18.1666666666667,7.88333333333334,13.8,6.5455328278147,-28,84.59,15.09,55.5433333333333,333.26,51.0488646765777,17.4333333333333,7.36666666666667,13.3666666666667,2.80059517483931,-14.9,81.43,45.41,66.5566666666667,214.76,42.6016543349434,"deheson_C5_2004"
"38","deheson_C5","2005",18.6333333333334,7.48333333333334,13.5,8.17997555008571,-31.8,47.89,5.86,27.0966666666667,162.58,62.4097623778106,19.5666666666667,8.5,14.8333333333334,4.2852460061627,-19.5,47.89,21.95,34.4933333333333,109.34,49.0267644345982,"deheson_C5_2005"
"39","deheson_C5","2006",18.7666666666667,8.18333333333334,14.0833333333333,7.38333709555962,-28.5,127.38,19.88,53.9033333333333,323.42,71.5935294909184,20.2333333333333,9.33333333333333,15.5666666666667,4.21939964133918,-19.5,127.38,19.88,65.9733333333333,226.24,58.4952993834701,"deheson_C5_2006"
"40","deheson_C5","2007",17.7166666666667,7.60000000000001,13.4,5.2562343935559,-23,89.45,22.4,60.565,363.39,49.9526875425653,18.5666666666667,7.80000000000001,14.0666666666667,3.20832251080427,-17.3,89.45,22.4,59.4833333333333,252.72,50.8610454639754,"deheson_C5_2007"
"41","deheson_C5","2008",18.0666666666667,7.91666666666667,13.6833333333334,5.18398173865097,-23.9,175.55,11.01,66.7516666666667,400.51,90.3655470625396,18.2333333333333,7.70000000000001,13.7,2.55342906696074,-15.2,175.55,12.58,89.4933333333333,279.49,67.4022371387398,"deheson_C5_2008"
"42","deheson_C5","2009",18.8833333333333,7.98333333333335,13.9666666666667,6.60444294900535,-26.6,62.12,16.11,37.14,222.84,58.3518390293511,20.6,8.43333333333336,15.0666666666667,3.84230833397495,-19,43.49,17.03,27.5666666666667,98.81,78.6162261747315,"deheson_C5_2009"
"43","deheson_C5","2010",17.05,7.75000000000002,13.1,6.004664853262,-24,208.86,36.89,96.735,580.41,67.5062194542664,18.3,8.16666666666669,14.1666666666667,3.46746785613555,-16.7,90.94,36.89,66.6433333333333,239.43,97.9875077113259,"deheson_C5_2010"
