"","r_name","aoi_name","values","date","variable"
"163","CHELSA_pr_01_2012_V.2.1","deheson_S3",1777,"01_2012","pr"
"164","CHELSA_pr_01_2012_V.2.1","deheson_W1",1950,"01_2012","pr"
"165","CHELSA_pr_01_2012_V.2.1","deheson_C2",1813,"01_2012","pr"
"166","CHELSA_pr_01_2012_V.2.1","deheson_S7",1668,"01_2012","pr"
"167","CHELSA_pr_01_2012_V.2.1","deheson_C5",1722,"01_2012","pr"
"168","CHELSA_pr_01_2012_V.2.1","deheson_W4",1735,"01_2012","pr"
"169","CHELSA_pr_01_2012_V.2.1","deheson_O6",1722,"01_2012","pr"
"170","CHELSA_pr_01_2013_V.2.1","atoquedo",7833,"01_2013","pr"
"171","CHELSA_pr_01_2013_V.2.1","la_cana",6888,"01_2013","pr"
"172","CHELSA_pr_01_2013_V.2.1","la_ciervina",7299,"01_2013","pr"
"173","CHELSA_pr_01_2013_V.2.1","las_casillas",6602,"01_2013","pr"
"174","CHELSA_pr_01_2013_V.2.1","la_villa",7762,"01_2013","pr"
"175","CHELSA_pr_01_2013_V.2.1","valdelacasa",8382,"01_2013","pr"
"176","CHELSA_pr_01_2013_V.2.1","deheson_S3",8990,"01_2013","pr"
"177","CHELSA_pr_01_2013_V.2.1","deheson_W1",9724,"01_2013","pr"
"178","CHELSA_pr_01_2013_V.2.1","deheson_C2",8967,"01_2013","pr"
"179","CHELSA_pr_01_2013_V.2.1","deheson_S7",8552,"01_2013","pr"
"180","CHELSA_pr_01_2013_V.2.1","deheson_C5",8679,"01_2013","pr"
"181","CHELSA_pr_01_2013_V.2.1","deheson_W4",8666,"01_2013","pr"
"182","CHELSA_pr_01_2013_V.2.1","deheson_O6",8679,"01_2013","pr"
"183","CHELSA_pr_01_2014_V.2.1","atoquedo",14827,"01_2014","pr"
"184","CHELSA_pr_01_2014_V.2.1","la_cana",8857,"01_2014","pr"
"185","CHELSA_pr_01_2014_V.2.1","la_ciervina",12495,"01_2014","pr"
"186","CHELSA_pr_01_2014_V.2.1","las_casillas",8987,"01_2014","pr"
"187","CHELSA_pr_01_2014_V.2.1","la_villa",12836,"01_2014","pr"
"188","CHELSA_pr_01_2014_V.2.1","valdelacasa",17905,"01_2014","pr"
"189","CHELSA_pr_01_2014_V.2.1","deheson_S3",14444,"01_2014","pr"
"190","CHELSA_pr_01_2014_V.2.1","deheson_W1",15271,"01_2014","pr"
"191","CHELSA_pr_01_2014_V.2.1","deheson_C2",14317,"01_2014","pr"
"192","CHELSA_pr_01_2014_V.2.1","deheson_S7",13938,"01_2014","pr"
"193","CHELSA_pr_01_2014_V.2.1","deheson_C5",14047,"01_2014","pr"
"194","CHELSA_pr_01_2014_V.2.1","deheson_W4",13992,"01_2014","pr"
"195","CHELSA_pr_01_2014_V.2.1","deheson_O6",14047,"01_2014","pr"
"196","CHELSA_pr_01_2015_V.2.1","atoquedo",3237,"01_2015","pr"
"197","CHELSA_pr_01_2015_V.2.1","la_cana",3242,"01_2015","pr"
"198","CHELSA_pr_01_2015_V.2.1","la_ciervina",3016,"01_2015","pr"
"199","CHELSA_pr_01_2015_V.2.1","las_casillas",2818,"01_2015","pr"
"200","CHELSA_pr_01_2015_V.2.1","la_villa",2830,"01_2015","pr"
"201","CHELSA_pr_01_2015_V.2.1","valdelacasa",3468,"01_2015","pr"
"202","CHELSA_pr_01_2015_V.2.1","deheson_S3",4586,"01_2015","pr"
"203","CHELSA_pr_01_2015_V.2.1","deheson_W1",4971,"01_2015","pr"
"204","CHELSA_pr_01_2015_V.2.1","deheson_C2",4651,"01_2015","pr"
"205","CHELSA_pr_01_2015_V.2.1","deheson_S7",4340,"01_2015","pr"
"206","CHELSA_pr_01_2015_V.2.1","deheson_C5",4456,"01_2015","pr"
"207","CHELSA_pr_01_2015_V.2.1","deheson_W4",4476,"01_2015","pr"
"208","CHELSA_pr_01_2015_V.2.1","deheson_O6",4456,"01_2015","pr"
"209","CHELSA_pr_02_2000_V.2.1","atoquedo",1248,"02_2000","pr"
"210","CHELSA_pr_02_2000_V.2.1","la_cana",1623,"02_2000","pr"
"211","CHELSA_pr_02_2000_V.2.1","la_ciervina",1071,"02_2000","pr"
"212","CHELSA_pr_02_2000_V.2.1","las_casillas",861,"02_2000","pr"
"213","CHELSA_pr_02_2000_V.2.1","la_villa",574,"02_2000","pr"
"214","CHELSA_pr_02_2000_V.2.1","valdelacasa",999,"02_2000","pr"
"215","CHELSA_pr_02_2000_V.2.1","deheson_S3",2129,"02_2000","pr"
"216","CHELSA_pr_02_2000_V.2.1","deheson_W1",2171,"02_2000","pr"
"217","CHELSA_pr_02_2000_V.2.1","deheson_C2",2156,"02_2000","pr"
"218","CHELSA_pr_02_2000_V.2.1","deheson_S7",2071,"02_2000","pr"
"219","CHELSA_pr_02_2000_V.2.1","deheson_C5",2128,"02_2000","pr"
"220","CHELSA_pr_02_2000_V.2.1","deheson_W4",2138,"02_2000","pr"
"221","CHELSA_pr_02_2000_V.2.1","deheson_O6",2128,"02_2000","pr"
"222","CHELSA_pr_02_2001_V.2.1","atoquedo",10975,"02_2001","pr"
"223","CHELSA_pr_02_2001_V.2.1","la_cana",8989,"02_2001","pr"
"224","CHELSA_pr_02_2001_V.2.1","la_ciervina",10528,"02_2001","pr"
"225","CHELSA_pr_02_2001_V.2.1","las_casillas",9146,"02_2001","pr"
"226","CHELSA_pr_02_2001_V.2.1","la_villa",9956,"02_2001","pr"
"227","CHELSA_pr_02_2001_V.2.1","valdelacasa",11697,"02_2001","pr"
"228","CHELSA_pr_02_2001_V.2.1","deheson_S3",10720,"02_2001","pr"
"229","CHELSA_pr_02_2001_V.2.1","deheson_W1",11504,"02_2001","pr"
"230","CHELSA_pr_02_2001_V.2.1","deheson_C2",10830,"02_2001","pr"
"231","CHELSA_pr_02_2001_V.2.1","deheson_S7",10208,"02_2001","pr"
"232","CHELSA_pr_02_2001_V.2.1","deheson_C5",10445,"02_2001","pr"
"233","CHELSA_pr_02_2001_V.2.1","deheson_W4",10490,"02_2001","pr"
"234","CHELSA_pr_02_2001_V.2.1","deheson_O6",10445,"02_2001","pr"
"235","CHELSA_pr_02_2002_V.2.1","atoquedo",2462,"02_2002","pr"
"236","CHELSA_pr_02_2002_V.2.1","la_cana",971,"02_2002","pr"
"237","CHELSA_pr_02_2002_V.2.1","la_ciervina",2408,"02_2002","pr"
"238","CHELSA_pr_02_2002_V.2.1","las_casillas",1925,"02_2002","pr"
"239","CHELSA_pr_02_2002_V.2.1","la_villa",3143,"02_2002","pr"
"240","CHELSA_pr_02_2002_V.2.1","valdelacasa",3214,"02_2002","pr"
"241","CHELSA_pr_02_2002_V.2.1","deheson_S3",2074,"02_2002","pr"
"242","CHELSA_pr_02_2002_V.2.1","deheson_W1",2212,"02_2002","pr"
"243","CHELSA_pr_02_2002_V.2.1","deheson_C2",2129,"02_2002","pr"
"244","CHELSA_pr_02_2002_V.2.1","deheson_S7",1969,"02_2002","pr"
"245","CHELSA_pr_02_2002_V.2.1","deheson_C5",2041,"02_2002","pr"
"246","CHELSA_pr_02_2002_V.2.1","deheson_W4",2062,"02_2002","pr"
"247","CHELSA_pr_02_2002_V.2.1","deheson_O6",2041,"02_2002","pr"
"248","CHELSA_pr_02_2003_V.2.1","atoquedo",12919,"02_2003","pr"
"249","CHELSA_pr_02_2003_V.2.1","la_cana",10166,"02_2003","pr"
"250","CHELSA_pr_02_2003_V.2.1","la_ciervina",11857,"02_2003","pr"
"251","CHELSA_pr_02_2003_V.2.1","las_casillas",7803,"02_2003","pr"
"252","CHELSA_pr_02_2003_V.2.1","la_villa",10663,"02_2003","pr"
"253","CHELSA_pr_02_2003_V.2.1","valdelacasa",11445,"02_2003","pr"
"254","CHELSA_pr_02_2003_V.2.1","deheson_S3",13371,"02_2003","pr"
"255","CHELSA_pr_02_2003_V.2.1","deheson_W1",13877,"02_2003","pr"
"256","CHELSA_pr_02_2003_V.2.1","deheson_C2",13429,"02_2003","pr"
"257","CHELSA_pr_02_2003_V.2.1","deheson_S7",12978,"02_2003","pr"
"258","CHELSA_pr_02_2003_V.2.1","deheson_C5",13200,"02_2003","pr"
"259","CHELSA_pr_02_2003_V.2.1","deheson_W4",13221,"02_2003","pr"
"260","CHELSA_pr_02_2003_V.2.1","deheson_O6",13200,"02_2003","pr"
"261","CHELSA_pr_02_2004_V.2.1","atoquedo",8340,"02_2004","pr"
"262","CHELSA_pr_02_2004_V.2.1","la_cana",9929,"02_2004","pr"
"263","CHELSA_pr_02_2004_V.2.1","la_ciervina",7879,"02_2004","pr"
"264","CHELSA_pr_02_2004_V.2.1","las_casillas",6070,"02_2004","pr"
"265","CHELSA_pr_02_2004_V.2.1","la_villa",5625,"02_2004","pr"
"266","CHELSA_pr_02_2004_V.2.1","valdelacasa",6796,"02_2004","pr"
"267","CHELSA_pr_02_2004_V.2.1","deheson_S3",8545,"02_2004","pr"
"268","CHELSA_pr_02_2004_V.2.1","deheson_W1",8691,"02_2004","pr"
"269","CHELSA_pr_02_2004_V.2.1","deheson_C2",8450,"02_2004","pr"
"270","CHELSA_pr_02_2004_V.2.1","deheson_S7",8414,"02_2004","pr"
"271","CHELSA_pr_02_2004_V.2.1","deheson_C5",8459,"02_2004","pr"
"272","CHELSA_pr_02_2004_V.2.1","deheson_W4",8417,"02_2004","pr"
"273","CHELSA_pr_02_2004_V.2.1","deheson_O6",8459,"02_2004","pr"
"274","CHELSA_pr_02_2005_V.2.1","atoquedo",1096,"02_2005","pr"
"275","CHELSA_pr_02_2005_V.2.1","la_cana",176,"02_2005","pr"
"276","CHELSA_pr_02_2005_V.2.1","la_ciervina",749,"02_2005","pr"
"277","CHELSA_pr_02_2005_V.2.1","las_casillas",381,"02_2005","pr"
"278","CHELSA_pr_02_2005_V.2.1","la_villa",751,"02_2005","pr"
"279","CHELSA_pr_02_2005_V.2.1","valdelacasa",1650,"02_2005","pr"
"280","CHELSA_pr_02_2005_V.2.1","deheson_S3",4359,"02_2005","pr"
"281","CHELSA_pr_02_2005_V.2.1","deheson_W1",4530,"02_2005","pr"
"282","CHELSA_pr_02_2005_V.2.1","deheson_C2",4182,"02_2005","pr"
"283","CHELSA_pr_02_2005_V.2.1","deheson_S7",4282,"02_2005","pr"
"284","CHELSA_pr_02_2005_V.2.1","deheson_C5",4206,"02_2005","pr"
"285","CHELSA_pr_02_2005_V.2.1","deheson_W4",4132,"02_2005","pr"
"286","CHELSA_pr_02_2005_V.2.1","deheson_O6",4206,"02_2005","pr"
"287","CHELSA_pr_02_2006_V.2.1","atoquedo",4849,"02_2006","pr"
"288","CHELSA_pr_02_2006_V.2.1","la_cana",3902,"02_2006","pr"
"289","CHELSA_pr_02_2006_V.2.1","la_ciervina",4752,"02_2006","pr"
"290","CHELSA_pr_02_2006_V.2.1","las_casillas",4309,"02_2006","pr"
"291","CHELSA_pr_02_2006_V.2.1","la_villa",4330,"02_2006","pr"
"292","CHELSA_pr_02_2006_V.2.1","valdelacasa",4688,"02_2006","pr"
"293","CHELSA_pr_02_2006_V.2.1","deheson_S3",5942,"02_2006","pr"
"294","CHELSA_pr_02_2006_V.2.1","deheson_W1",6229,"02_2006","pr"
"295","CHELSA_pr_02_2006_V.2.1","deheson_C2",5846,"02_2006","pr"
"296","CHELSA_pr_02_2006_V.2.1","deheson_S7",5779,"02_2006","pr"
"297","CHELSA_pr_02_2006_V.2.1","deheson_C5",5777,"02_2006","pr"
"298","CHELSA_pr_02_2006_V.2.1","deheson_W4",5741,"02_2006","pr"
