aoi,date,ndvi_mean
valdelacasa_point,2014-07-10,
valdelacasa_point,2014-07-26,
la_cana_point,2003-01-10,0.6656851903391382
la_cana_point,2003-01-26,0.5308195324567562
la_cana_point,2003-02-27,0.647300961995116
la_cana_point,2003-03-31,
la_cana_point,2003-04-16,0.12924273451224907
la_cana_point,2003-05-02,0.7803787825384007
la_cana_point,2003-05-18,
la_cana_point,2003-01-17,0.730989839396919
la_cana_point,2003-02-02,
la_cana_point,2003-03-22,
la_cana_point,2004-06-05,
la_cana_point,2004-07-07,
la_cana_point,2005-02-16,
la_cana_point,2005-03-04,
la_cana_point,2005-05-07,
la_cana_point,2005-05-23,
la_cana_point,2005-06-08,
la_cana_point,2005-01-22,
la_cana_point,2005-04-12,
la_cana_point,2005-04-28,
la_cana_point,2005-07-01,
la_cana_point,2006-01-02,
la_cana_point,2006-04-08,
la_cana_point,2006-04-24,0.5280010813661553
la_cana_point,2006-06-11,
la_cana_point,2006-01-09,
la_cana_point,2007-02-06,0.34063394025248134
la_cana_point,2007-03-10,
la_cana_point,2007-05-29,
la_cana_point,2007-06-30,
la_cana_point,2008-02-09,
la_cana_point,2008-03-28,0.17712811299179457
la_cana_point,2008-07-18,
la_cana_point,2008-01-31,
la_cana_point,2008-04-04,
la_cana_point,2009-01-10,0.7122800074757584
la_cana_point,2009-02-11,
la_cana_point,2009-02-27,0.3661198679812141
la_cana_point,2009-03-15,
la_cana_point,2009-03-31,
la_cana_point,2009-05-02,0.8151347020319906
la_cana_point,2009-05-18,
la_cana_point,2009-01-17,
la_cana_point,2009-02-18,
la_cana_point,2009-03-22,
la_cana_point,2009-07-28,
la_cana_point,2010-05-05,
la_cana_point,2010-05-21,
la_cana_point,2010-06-06,
la_cana_point,2010-06-22,
la_cana_point,2010-04-26,
la_cana_point,2011-02-01,
la_cana_point,2011-03-21,
la_cana_point,2011-04-06,
la_cana_point,2011-05-08,
la_cana_point,2011-05-24,
la_cana_point,2011-04-13,0.828834114622713
la_cana_point,2011-05-15,
la_cana_point,2012-01-03,
la_cana_point,2012-01-19,
la_cana_point,2012-02-04,
la_cana_point,2012-02-20,
la_cana_point,2012-03-07,
la_cana_point,2012-04-08,
la_cana_point,2012-04-24,
la_cana_point,2012-07-29,
la_cana_point,2012-01-26,0.4623809627357497
la_cana_point,2012-02-11,
la_cana_point,2012-02-27,
la_cana_point,2012-03-14,
la_cana_point,2012-04-15,0.45751031033802536
la_cana_point,2012-07-20,
la_cana_point,2013-04-27,
la_cana_point,2013-05-13,
la_cana_point,2013-05-29,
la_cana_point,2013-06-14,0.6619440365157107
